chamber,candidate_name,district,party,slug,status
House,Amy Sheldon,Addison-1,Democratic,amy-sheldon,ok
House,Robin Scheu,Addison-1,Democratic,robin-scheu,ok
House,Peter Conlon,Addison-2,Democratic,peter-conlon,ok
House,Matt Birong,Addison-3,Democratic,matt-birong,ok
House,Diane Lanpher,Addison-3,Democratic,diane-lanpher,ok
House,Mari Cordes,Addison-4,Democratic,mari-cordes,ok
House,Caleb Elder,Addison-4,Democratic,caleb-elder,ok
House,Harvey T. Smith,Addison-5,Republican,harvey-t.-smith,ok
House,Terry Norris,Addison-Rutland,Independent,terry-norris,ok
House,Nelson Brownell,Bennington-1,Democratic,nelson-brownell,ok
House,Timothy R. Corcoran II,Bennington-2-1,Democratic,timothy-r.-corcoran-ii,ok
House,Chris Bates,Bennington-2-1,Democratic,chris-bates,ok
House,Jim Carroll,Bennington-2-2,Democratic,jim-carroll,ok
House,Mary A. Morrissey,Bennington-2-2,Republican,mary-a.-morrissey,ok
House,David K. Durfee,Bennington-3,Democratic,david-k-durfee,ok
House,Cynthia Browning,Bennington-4,Democratic,cynthia-browning,ok
House,Kathleen James,Bennington-4,Democratic,kathleen-james,ok
House,Linda Joy Sullivan,Bennington-Rutland,Democratic,linda-joy-sullivan,ok
House,Marcia Robinson Martel,Caledonia-1,Republican,marcia-robinson-martel,ok
House,Chip Troiano,Caledonia-2,Democratic,chip-troiano,ok
House,Scott Campbell,Caledonia-3,Democratic,scott-campbell,ok
House,Scott Beck,Caledonia-3,Republican,scott-beck,ok
House,"Martha ""Marty"" Feltus",Caledonia-4,Republican,mary-feltus,ok
House,Patrick Seymour,Caledonia-4,Republican,patrick-seymour,ok
House,"Catherine ""Kitty"" Toll",Caledonia-Washington,Democratic,kitty-toll,ok
House,Marcia Lawrence Gardner,Chittenden-1,Democratic,marcia-lawrence-gardner,ok
House,John Palasik,Chittenden-10,Republican,john-palasik,ok
House,Christopher Mattos,Chittenden-10,Republican,christopher-mattos,ok
House,Jim McCullough,Chittenden-2,Democratic,jim-mccullough,ok
House,Terry Macaig,Chittenden-2,Democratic,terry-macaig,ok
House,Trevor Squirrell,Chittenden-3,Democratic,trevor-squirrell,ok
House,George Till,Chittenden-3,Democratic,george-till,ok
House,Michael Yantachka,Chittenden-4-1,Democratic,michael-yantachka,ok
House,Bill Lippert,Chittenden-4-2,Democratic,bill-lippert,ok
House,Kate Webb,Chittenden-5-1,Democratic,kate-webb,ok
House,Jessica Brumsted,Chittenden-5-2,Democratic,jessica-brumsted,ok
House,Carol Ode,Chittenden-6-1,Democratic,carol-ode,ok
House,Robert Hooper,Chittenden-6-1,Democratic,robert-hooper,ok
House,Jean O'Sullivan,Chittenden-6-2,Democratic,jean-o'sullivan,ok
House,Jill Krowinski,Chittenden-6-3,Democratic,jill-krowinski,ok
House,Curt McCormack,Chittenden-6-3,Democratic,curt-mccormack,ok
House,Selene Colburn,Chittenden-6-4,Progressive,selene-colburn,ok
House,Brian Cina,Chittenden-6-4,Progressive,brian-cina,ok
House,Mary M. Sullivan,Chittenden-6-5,Democratic,mary-m.-sullivan,ok
House,Johannah Leddy Donovan,Chittenden-6-5,Democratic,johannah-leddy-donovan,ok
House,Barbara Rachelson,Chittenden-6-6,Democratic,barbara-rachelson,ok
House,"Clement ""Clem"" Bissonnette",Chittenden-6-7,Democratic,clem-bissonnette,FALSE
House,Diana Gonzalez,Chittenden-6-7,Progressive,diana-gonzalez,ok
House,Martin Lalonde,Chittenden-7-1,Democratic,martin-lalonde,ok
House,Ann Pugh,Chittenden-7-2,Democratic,ann-pugh,ok
House,John Killacky,Chittenden-7-3,Democratic,john-killacky,ok
House,Maida F. Townsend,Chittenden-7-4,Democratic,maida-f.-townsend,ok
House,Marybeth Redmond,Chittenden-8-1,Democratic,marybeth-redmond,ok
House,Linda K. Myers,Chittenden-8-1,Republican,linda-k.-myers,ok
House,Lori Houghton,Chittenden-8-2,Democratic,lori-houghton,ok
House,Dylan Giambatista,Chittenden-8-2,Democratic,dylan-giambatista,ok
House,Robert L. Bancroft,Chittenden-8-3,Republican,robert-l.-bancroft,ok
House,Curt Taylor,Chittenden-9-1,Democratic,curt-taylor,ok
House,Seth Chase,Chittenden-9-1,Democratic,seth-chase,ok
House,Sarita Austin,Chittenden-9-2,Democratic,sarita-austin,ok
House,Patrick Brennan,Chittenden-9-2,Republican,patrick-brennan,ok
House,Connie Quimby,Essex-Caledonia,Republican,connie-quimby,ok
House,Paul D. Lefebvre,Essex-Caledonia-Orleans,Republican,paul-d.-lefebvre,ok
